breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Papillon,"Friendly, Alert, Happy",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230042/Papillon-On-White-01.jpg,"The quick, curious Papillon is a toy dog of singular beauty and upbeat athleticism. Despite his refined appearance, the Pap is truly a “doggy dog” blessed with a hardy constitution. Papillon fanciers describe their breed as happy, alert, and friendly.",Ranks 54 of 197,8-11 inches,5-10 pounds,14-16 years,Toy Group,40%,60%,60%,100%,100%,"['White & Black', 'White & Lemon', 'White & Red', 'White & Sable', 'White Black & Tan', 'Black Brown & White', 'Black Red & White', 'Brown & White', 'Fawn & White', 'Red', 'Red White & Sable', 'Sable', 'White', 'White & Liver', 'White & Silver']"
Parson Russell Terrier,"Friendly, Clever, Athletic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13124139/Parson-Russell-Terrier-standing-in-three-quarter-view-on-a-white-background.jpg,"The Parson Russell Terrier is a bold and clever terrier, swift enough to run with horses and fearless enough to dig in and flush a fox from his lair. Independent problem solvers, PRTs can have their own ideas on how to go about things.",Ranks 117 of 197,"14 inches (male), 13 inches (female)",13-17 pounds,13-15 years,Terrier Group,40%,40%,100%,60%,80%,['White']
Pekingese,"Affectionate, Loyal, Regal in Manner",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13153305/Pekingese-standing-in-the-grass.jpg,"The Pekingese, a compact toy companion of regal bearing and a distinctive rolling gait, is one of several breeds created for the ruling classes of ancient China. These are sophisticated dogs of undying loyalty and many subtle delights.",Ranks 92 of 197,6-9 inches,up to 14 pounds,12-14 years,Toy Group,60%,60%,40%,20%,40%,"['Biscuit', 'Black', 'Black & Tan', 'Cream', 'Fawn', 'Fawn Sable', 'Gray', 'Red', 'Red Sable', 'White', 'Fawn Brindle', 'Gray Sable', 'Light Red', 'Red Brindle']"
Pembroke Welsh Corgi,"Affectionate, Smart, Alert",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14112506/Pembroke-Welsh-Corgi-standing-outdoors-in-the-fall.jpg,"Among the most agreeable of all small housedogs, the Pembroke Welsh Corgi is a strong, athletic, and lively little herder who is affectionate and companionable without being needy. They are one of the world's most popular herding breeds.",Ranks 13 of 197,10-12 inches,"up to 30 pounds (male), up to 28 pounds (female)",12-13 years,Herding Group,40%,80%,80%,60%,100%,"['Black & Tan', 'Fawn', 'Red', 'Sable']"
Perro de Presa Canario,"Confident, Calm, Strong-Willed",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02200433/Perro-de-Presa-Canario.1.jpg,The Perro de Presa Canario has a calm appearance and attentive expression. He is especially suited to guarding and traditionally used for herding cattle.,NA,22-26 inches,84-110 pounds,9-11 years,Foundation Stock Service,Missing 'Care' Scales for 'Perro de Presa Canario',Missing 'Care' Scales for 'Perro de Presa Canario',Missing 'Care' Scales for 'Perro de Presa Canario',Missing 'Care' Scales for 'Perro de Presa Canario',Missing 'Care' Scales for 'Perro de Presa Canario',"['Brown', 'Fawn', 'Gold', 'Orange', 'Silver', 'Tiger']"
Peruvian Inca Orchid,"Affectionate, Loyal, Noble",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29133522/Peruvian-Inca-Orchid-04.jpg,"Agile, smart and swift, the Peruvian Inca Orchid is an elegant sighthound that developed in Peru. The breed can be hairless or coated, and comes in three sizes: small, medium and large. Lively and alert, these dogs can be very good hunters and do well in lure coursing, rally and agility. In the hairless variety, the skin can be of any color. In the coated variety, all colors are accepted including black, brown, gray, pink, tan and white.",NA,9.75-15.75 inches (small) 15.75-19.75 inches (medium) 19.75-25.75 inches (large),8.5-17.5 pounds (small) 17.5-26.5 pounds (medium) 26.5-55 pounds (large),12-14 years,Miscellaneous Class,20%,80%,80%,60%,40%,"['Black', 'Blue', 'Bronze', 'Brown', 'Copper', 'Cream', 'Gold', 'Gray', 'Gray Brindle', 'Lilac', 'Red', 'Red Brindle', 'Rose', 'Tan', 'Tan Brindle', 'Tri-Colored', 'White']"
Petit Basset Griffon Vendéen,"Alert, Happy, Vivacious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212335/Petit-Basset-Griffon-Vendeen-On-White-03.jpg,"The Petit Basset Griffon Vendéen is a vivacious small French hunting hound known for a happy demeanor and durable constitution. Bred to work in a pack, PBGVs enjoy company and do well with other dogs and kids.",Ranks 156 of 197,13-15 inches,25-40 pounds,12-14 years,Hound Group,40%,40%,80%,40%,80%,"['Black & Tan', 'White & Black', 'White & Gray', 'White & Grizzle', 'White & Lemon', 'White & Orange', 'White & Sable', 'White Black & Tan', 'Fawn']"
Pharaoh Hound,"Friendly, Smart, Noble",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12214239/Pharaoh-Hound-On-White-03.jpg,"The Pharaoh Hound, ancient ""Blushing Dog"" of Malta, is an elegant but rugged sprinting hound bred to course small game over punishing terrain. Quick and tenacious on scent, these friendly, affectionate hounds settle down nicely at home.",Ranks 172 of 197,"23-25 inches (male), 21-24 inches (female)",45-55 pounds,12-14 years,Hound Group,40%,60%,80%,40%,40%,"['Chestnut', 'Red Golden', 'Rich Tan', 'Tan']"
Plott Hound,"Loyal, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30140443/IMG_8947.jpg,"The Plott Hound, a hound with a curious name and a unique history, is a rugged, relentless hunting dog who is a mellow gentleman at home but fearless, implacable, and bold at work. This eye-catching scenthound is North Carolina's state dog.",Ranks 171 of 197,"20-25 inches (male), 20-23 inches (female)","50-60 pounds (male), 40-55 pounds (female)",12-14 years,Hound Group,20%,40%,80%,40%,60%,"['Black', 'Black Brindle', 'Blue Brindle', 'Brown Brindle', 'Buckskin', 'Chocolate Brindle', 'Gray Brindle', 'Liver Brindle', 'Maltese', 'Orange Brindle', 'Red Brindle', 'Tan Brindle', 'Yellow Brindle']"
Pointer,"Loyal, Hardworking, Even-Tempered",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31182317/Pointer.4.jpg,"The Pointer is the ultimate expression of canine power and grace. The breed’s name is its job description: Pointers point game birds, and they have been pointing for centuries. The high-energy Pointer is an excellent runner’s companion.",Ranks 114 of 197,"25-28 inches (male), 23-26 inches (female)","55-75 pounds (male), 45-65 pounds (female)",12-17 years,Sporting Group,40%,40%,80%,60%,60%,"['Black', 'Black & White', 'Lemon', 'Lemon & White', 'Liver', 'Liver & White', 'Orange', 'Orange & White']"
Polish Lowland Sheepdog,"Confident, Clever, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225658/Polish-Lowland-Sheepdog-On-White-02.jpg,"A shaggy-coated herding dog who thrives on exercise and hard work, the Polish Lowland Sheepdog is clever, confident, and a bit stubborn. Compact, alert, and adaptable, they are beloved companions and watchdogs of Polish city dwellers.",Ranks 170 of 197,"18-20 inches (male), 17-19 inches (female)",30-50 pounds,12-14 years,Herding Group,80%,60%,80%,20%,20%,"['Beige', 'Black', 'Black & White', 'Brown', 'Chocolate & White', 'Gray', 'Gray & White', 'Tri-Colored', 'White', 'Beige & Brown', 'Beige & White', 'Black & Beige', 'Black & Gray', 'Black & Silver', 'Black Gray & Beige', 'Black Gray & White', 'Black White & Silver', 'Gray Tan & Beige', 'Red Black & White', 'White & Apricot', 'White & Brown', 'White & Gold', 'White & Liver', 'White & Silver', 'White Gray & Tan']"
Pomeranian,"Inquisitive, Bold, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225627/Pomeranian-On-White-01.jpg,"The tiny Pomeranian, long a favorite of royals and commoners alike, has been called the ideal companion. The glorious coat, smiling, foxy face, and vivacious personality have helped make the Pom one of the world's most popular toy breeds.",Ranks 23 of 197,6-7 inches,3-7 pounds,12-16 years,Toy Group,60%,60%,60%,60%,60%,"['Beaver', 'Black', 'Black & Tan', 'Blue', 'Blue & Tan', 'Blue Merle', 'Blue Sable', 'Chocolate', 'Chocolate & Tan', 'Cream', 'Cream Sable', 'Orange', 'Orange Sable', 'Red', 'Red Sable', 'Tri-Colored', 'White', 'Wolf Sable', 'Beaver Sable', 'Black & Brindle', 'Blue Brindle', 'Chocolate Merle', 'Chocolate Sable']"
Poodle (Miniature),"Active, Proud, Very Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225548/Poodle-On-White-01.jpg,"Whether Standard, Miniature, or Toy, and either black, white, or apricot, the Poodle stands proudly among dogdom’s true aristocrats. Beneath the curly, low-allergen coat is an elegant athlete and companion for all reasons and seasons.",Ranks 7 of 197,10-15 inches,10-15 pounds,10-18 years,Non-Sporting Group,Missing 'Care' Scales for 'Poodle (Miniature)',Missing 'Care' Scales for 'Poodle (Miniature)',Missing 'Care' Scales for 'Poodle (Miniature)',Missing 'Care' Scales for 'Poodle (Miniature)',Missing 'Care' Scales for 'Poodle (Miniature)',"['Apricot', 'Black', 'Blue', 'Brown', 'Cream', 'Gray', 'Red', 'Silver', 'Silver Beige', 'White', 'Black & Apricot', 'Black & Brown', 'Black & Cream', 'Black & Gray', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Black & White', 'Blue & White', 'Brown & Apricot', 'Brown & White', 'Cafe Au Lait', 'Cream & White', 'Gray & White', 'Red & Apricot', 'Red & White', 'White & Apricot', 'White & Silver']"
Poodle (Standard),"Active, Proud, Very Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225538/Poodle-On-White-03.jpg,"Whether Standard, Miniature, or Toy, and either black, white, or apricot, the Poodle stands proudly among dogdom’s true aristocrats. Beneath the curly, low-allergen coat is an elegant athlete and companion for all reasons and seasons.",Ranks 7 of 197,Over 15 inches (standard),"60-70 pounds (male), 40-50 pounds (female)",10-18 years,Non-Sporting Group,100%,20%,60%,100%,80%,"['Apricot', 'Black', 'Blue', 'Brown', 'Cream', 'Gray', 'Red', 'Silver', 'Silver Beige', 'White', 'Black & Apricot', 'Black & Brown', 'Black & Cream', 'Black & Gray', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Black & White', 'Blue & White', 'Brown & Apricot', 'Brown & White', 'Cafe au Lait', 'Cream & White', 'Gray & White', 'Red & Apricot', 'Red & White', 'White & Apricot', 'White & Silver']"
Poodle (Toy),"Agile, Intelligent, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/01104119/Toy-Poodle-on-White-02.jpg,"Despite his diminutive size, the Toy Poodle stands proudly among dogdom’s true aristocrats. Beneath the curly, low-allergen coat is an elegant athlete and companion for all reasons and seasons.",Ranks 7 of 197,No more than 10 inches,4-6 pounds,10-18 years,Toy Group,100%,20%,60%,100%,80%,"['Apricot', 'Black', 'Blue', 'Brown', 'Cream', 'Gray', 'Red', 'Silver', 'Silver Beige', 'White', 'Black & Apricot', 'Black & Brown', 'Black & Cream', 'Black & Gray', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Black & White', 'Blue & White', 'Brown & Apricot', 'Brown & White', 'Cafe Au Lait', 'Cream & White', 'Gray & White', 'Red & Apricot', 'Red & White', 'White & Apricot', 'White & Silver']"
Porcelaine,"Independent, Energetic, Powerful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02202853/Porcelaine.4.jpg,"The Porcelaine is elegant, energetic, and a fierce hunter; he is used for small game, driving it to waiting guns. He is very fond of his owners, family, friends and children and he loves to take part in all family activities. The breed excels as a house pet and is easily crate trained and housebroken.",NA,22-23 inches,55-62 pounds,12-13 years,Foundation Stock Service,Missing 'Care' Scales for 'Porcelaine',Missing 'Care' Scales for 'Porcelaine',Missing 'Care' Scales for 'Porcelaine',Missing 'Care' Scales for 'Porcelaine',Missing 'Care' Scales for 'Porcelaine',['White & Orange']
Portuguese Podengo,"Independent, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13231716/Portuguese-Podengo-standing-in-three-quarter-view.jpg,"Portuguese Podengos are lively, agile, playful, alert, highly intelligent but not always easy to train, independent yet loving with the family and sometimes suspicious of strangers. The breed's two sizes have different jobs: the larger hunts deer and boar and the medium-sized hunts rabbit. In the U.S, they are successful in coursing, agility, nose work, barn hunt, rally and in the conformation ring.",NA,22-28 inches (large) 16-22 inches (medium),44-66 pounds (large) 35-44 pounds (medium),10-12 years,Miscellaneous Class,40%,80%,80%,60%,40%,"['Chestnut', 'Fawn', 'Gold', 'Gray', 'Off-White', 'Red', 'White & Black', 'White & Chestnut', 'White & Fawn', 'White & Gold', 'White & Gray', 'White & Orange', 'White & Red', 'White & Yellow', 'Yellow']"
Portuguese Podengo Pequeno,"Playful, Charming, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/21133457/PPP-on-white.jpg,"Classified as a hound, the alert and playful little Portuguese Podengo Pequeno is a quick, athletic rabbit hunter of ancient lineage. Pequenos love to run, romp, and chase when outdoors but make charming and well-mannered housemates.",Ranks 154 of 197,8-12 inches,9-13 pounds,12-15 years,Hound Group,40%,60%,80%,60%,80%,"['Black', 'Chestnut', 'Fawn', 'Gold', 'Gray', 'Orange', 'Red', 'White & Black', 'White & Chestnut', 'White & Fawn', 'White & Gold', 'White & Gray', 'White & Orange', 'White & Red', 'White & Yellow', 'Yellow']"
Portuguese Pointer,"Affectionate, Smart, Energetic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12195455/Portuguese-Pointer-on-White-01-1.jpg,The Portuguese Pointer is a very old hunting breed bred to work closely with its handler. They are enthusiastic in their work and very dedicated to their owner.,NA,20.5-22 inches,35-59 pounds,~14 years,Foundation Stock Service,20%,40%,80%,100%,80%,"['Light Yellow', 'Red Yellow', 'Yellow']"
Portuguese Sheepdog,"Intelligent, Devoted, Lively",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19232040/Black-Portuguese-Sheepdog-standing-outdoors-in-the-grass.jpg,"The Portuguese Sheepdog is exceptionally intelligent and lively. Very devoted to the shepherd and his herd, he can be somewhat wary of strangers and vigilant at night. Today, he is also an excellent companion, sporting and guard dog. He is known for his skillful ability to keep livestock in pastures and also for searching out stray animals. He is always vigilant and successfully alerts if predators are in the area. This breed is extremely devoted to its work and conducts it with joy and pleasure.",NA,16.5-21.5 inches,37.5-59 pounds,12-13 years,Foundation Stock Service,Missing 'Care' Scales for 'Portuguese Sheepdog',Missing 'Care' Scales for 'Portuguese Sheepdog',Missing 'Care' Scales for 'Portuguese Sheepdog',Missing 'Care' Scales for 'Portuguese Sheepdog',Missing 'Care' Scales for 'Portuguese Sheepdog',"['Black', 'Brown', 'Fawn', 'Gray', 'Wolfgray', 'Yellow']"
Portuguese Water Dog,"Affectionate, Adventurous, Athletic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16135451/Portuguese-Water-Dog-standing-in-profile-outdoors.jpg,"The bright and biddable Portuguese Water Dog was bred to be an all-around fisherman’s helper. The robust, medium-sized body is covered by a coat of tight, low-shedding curls. They are eager and athletic companions built for water work.",Ranks 50 of 197,"20-23 inches (male), 17-21 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11-13 years,Working Group,80%,60%,80%,80%,60%,"['Black', 'Brown', 'White']"
Pudelpointer,"Friendly, Smart, Willing to Please",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16151428/Pudelpointer-standing-in-a-field.jpg,"The Pudelpointer is a calm, self-controlled, versatile gun dog with a distinct hunting instinct and lacks game or gun shyness. In his native country of Germany, he has always ranked high in performance tests and in the field. This breed is enjoyed and valued for its desire and drive.",NA,22-26 inches,45-70 pounds,~14 years,Foundation Stock Service,Missing 'Care' Scales for 'Pudelpointer',Missing 'Care' Scales for 'Pudelpointer',Missing 'Care' Scales for 'Pudelpointer',Missing 'Care' Scales for 'Pudelpointer',Missing 'Care' Scales for 'Pudelpointer',"['Black', 'Liver']"
